,,,,,,,HR,MRR,COV
"('sss', 0.03)","('r', 1e-09)","('rr', 0.001)","('r', 200)","('nsne', 30)","('lr', 1e-08)","('mi', 40)",0.0138980807412,0.007720893343,38
"('sss', 0.03)","('r', 1e-09)","('rr', 0.01)","('r', 1)","('nsne', 1)","('lr', 1e-08)","('mi', 40)",0.0127950584602,0.00740723232451,62
"('sss', 0.03)","('r', 3e-09)","('rr', 0.03)","('r', 100)","('nsne', 1)","('lr', 1e-08)","('mi', 40)",0.0138980807412,0.00750230234016,101
"('sss', 0.03)","('r', 3e-09)","('rr', 0.3)","('r', 5)","('nsne', 30)","('lr', 1e-06)","('mi', 40)",0.0138980807412,0.00771450281708,45
"('sss', 0.03)","('r', 3e-09)","('rr', 0.3)","('r', 200)","('nsne', 15)","('lr', 3e-06)","('mi', 40)",0.0145598941099,0.00776343848812,70
"('sss', 0.03)","('r', 1e-08)","('rr', 0.003)","('r', 1)","('nsne', 70)","('lr', 3e-07)","('mi', 40)",0.0143392896537,0.00776842835082,47
"('sss', 0.03)","('r', 1e-08)","('rr', 0.003)","('r', 50)","('nsne', None)","('lr', 1e-09)","('mi', 40)",0.0154423119347,0.00779810490267,160
"('sss', 0.03)","('r', 1e-08)","('rr', 0.003)","('r', 150)","('nsne', 20)","('lr', 3e-07)","('mi', 40)",0.0145598941099,0.00781465023689,53
"('sss', 0.03)","('r', 1e-08)","('rr', 0.1)","('r', 250)","('nsne', 10)","('lr', 1e-09)","('mi', 40)",0.0138980807412,0.00768044919269,149
"('sss', 0.03)","('r', 3e-08)","('rr', 0.001)","('r', 20)","('nsne', 15)","('lr', 3e-08)","('mi', 40)",0.0147804985661,0.00783741101412,54
"('sss', 0.03)","('r', 3e-08)","('rr', 0.03)","('r', 200)","('nsne', 100)","('lr', 1e-10)","('mi', 40)",0.0138980807412,0.00753136610185,277
"('sss', 0.03)","('r', 3e-08)","('rr', 0.1)","('r', 200)","('nsne', 1)","('lr', 3e-09)","('mi', 40)",0.0130156629164,0.00753714383761,106
"('sss', 0.03)","('r', 3e-08)","('rr', 0.3)","('r', 75)","('nsne', 15)","('lr', 1e-07)","('mi', 40)",0.0143392896537,0.00771695397771,83
"('sss', 0.03)","('r', 1e-07)","('rr', 0.01)","('r', 100)","('nsne', 100)","('lr', 1e-09)","('mi', 40)",0.0150011030223,0.00783951200894,315
"('sss', 0.03)","('r', 1e-07)","('rr', 0.01)","('r', 200)","('nsne', 5)","('lr', 3e-06)","('mi', 40)",0.0134568718288,0.0076312508973,149
"('sss', 0.03)","('r', 3e-07)","('rr', 0.001)","('r', 30)","('nsne', 5)","('lr', 1e-06)","('mi', 40)",0.0141186851974,0.00771021328599,167
"('sss', 0.03)","('r', 3e-07)","('rr', 0.003)","('r', 20)","('nsne', 100)","('lr', 1e-07)","('mi', 40)",0.0143392896537,0.00762065838174,301
"('sss', 0.03)","('r', 3e-07)","('rr', 0.01)","('r', 1)","('nsne', 100)","('lr', 3e-09)","('mi', 40)",0.0143392896537,0.00762967515118,76
