,,,,,,,HR,MRR,COV
"('sss', 0.03)","('r', 1e-08)","('rr', 0.03)","('r', 30)","('nsne', 15)","('lr', 3e-10)","('mi', 40)",0.178423236515,0.0723285911875,397
"('sss', 0.03)","('r', 1e-08)","('rr', 0.1)","('r', 1)","('nsne', 20)","('lr', 3e-08)","('mi', 40)",0.10622406639,0.037847922018,130
"('sss', 0.03)","('r', 3e-08)","('rr', 0.001)","('r', 1)","('nsne', 5)","('lr', 3e-08)","('mi', 40)",0.107883817427,0.0397036158862,149
"('sss', 0.03)","('r', 3e-08)","('rr', 0.01)","('r', 75)","('nsne', 10)","('lr', 3e-10)","('mi', 40)",0.172614107884,0.0674478034644,512
"('sss', 0.03)","('r', 3e-08)","('rr', 0.03)","('r', 100)","('nsne', 5)","('lr', 1e-07)","('mi', 40)",0.170954356846,0.0678423236515,559
"('sss', 0.03)","('r', 1e-07)","('rr', 0.001)","('r', 1)","('nsne', 1)","('lr', 1e-10)","('mi', 40)",0.100414937759,0.0390815385629,152
"('sss', 0.03)","('r', 1e-07)","('rr', 0.003)","('r', 75)","('nsne', 50)","('lr', 1e-08)","('mi', 40)",0.161825726141,0.0644714483304,332
"('sss', 0.03)","('r', 1e-07)","('rr', 0.01)","('r', 5)","('nsne', 5)","('lr', 3e-08)","('mi', 40)",0.153526970954,0.0597520252914,376
"('sss', 0.03)","('r', 1e-07)","('rr', 0.03)","('r', 10)","('nsne', 10)","('lr', 1e-10)","('mi', 40)",0.164315352697,0.066775011526,432
"('sss', 0.03)","('r', 1e-07)","('rr', 0.1)","('r', 30)","('nsne', 30)","('lr', 1e-06)","('mi', 40)",0.152697095436,0.0599891325825,293
"('sss', 0.03)","('r', 3e-07)","('rr', 0.01)","('r', 30)","('nsne', 5)","('lr', 3e-10)","('mi', 40)",0.171784232365,0.0638016202332,548
"('sss', 0.03)","('r', 3e-07)","('rr', 0.01)","('r', 75)","('nsne', 100)","('lr', 1e-08)","('mi', 40)",0.167634854772,0.0671978528618,520
"('sss', 0.03)","('r', 3e-07)","('rr', 0.01)","('r', 150)","('nsne', 10)","('lr', 1e-08)","('mi', 40)",0.166804979253,0.0673005993545,426
"('sss', 0.03)","('r', 3e-07)","('rr', 0.03)","('r', 10)","('nsne', 70)","('lr', 3e-10)","('mi', 40)",0.165145228216,0.0659480998485,380
"('sss', 0.03)","('r', 3e-07)","('rr', 0.1)","('r', 30)","('nsne', 10)","('lr', 1e-10)","('mi', 40)",0.16265560166,0.0639843904367,425
"('sss', 0.03)","('r', 3e-07)","('rr', 0.1)","('r', 150)","('nsne', 1)","('lr', 1e-10)","('mi', 40)",0.157676348548,0.0597444510308,533
"('sss', 0.03)","('r', 3e-07)","('rr', 0.1)","('r', 200)","('nsne', 1)","('lr', 3e-09)","('mi', 40)",0.156846473029,0.0575920437331,531
"('sss', 0.03)","('r', 1e-06)","('rr', 0.001)","('r', 10)","('nsne', 10)","('lr', 1e-07)","('mi', 40)",0.155186721992,0.0642837383916,396
"('sss', 0.03)","('r', 1e-06)","('rr', 0.01)","('r', 1)","('nsne', 20)","('lr', 1e-06)","('mi', 40)",0.109543568465,0.0378963314233,125
"('sss', 0.03)","('r', 1e-06)","('rr', 0.01)","('r', 200)","('nsne', 100)","('lr', 1e-07)","('mi', 40)",0.165145228216,0.065084963446,447
"('sss', 0.03)","('r', 3e-06)","('rr', 0.01)","('r', 30)","('nsne', 10)","('lr', 1e-07)","('mi', 40)",0.183402489627,0.0684354211948,475
"('sss', 0.03)","('r', 3e-06)","('rr', 0.01)","('r', 50)","('nsne', 5)","('lr', 1e-09)","('mi', 40)",0.165975103734,0.0631390370809,527
"('sss', 0.03)","('r', 3e-06)","('rr', 0.03)","('r', 200)","('nsne', 30)","('lr', 3e-06)","('mi', 40)",0.15020746888,0.0609477705328,278
"('sss', 0.03)","('r', 3e-06)","('rr', 0.1)","('r', 20)","('nsne', 30)","('lr', 1e-10)","('mi', 40)",0.160995850622,0.0664812619377,314
"('sss', 0.03)","('r', 3e-06)","('rr', 0.3)","('r', 10)","('nsne', 70)","('lr', 3e-10)","('mi', 40)",0.160165975104,0.0662428373839,407
"('sss', 0.03)","('r', 3e-06)","('rr', 0.3)","('r', 30)","('nsne', 1)","('lr', 3e-08)","('mi', 40)",0.16265560166,0.0600596061384,496
"('sss', 0.1)","('r', 1e-10)","('rr', 0.01)","('r', 50)","('nsne', 50)","('lr', 1e-10)","('mi', 40)",0.167634854772,0.0679134558388,734
"('sss', 0.1)","('r', 1e-09)","('rr', 0.01)","('r', 1)","('nsne', None)","('lr', 3e-08)","('mi', 40)",0.110373443983,0.037574590002,147
"('sss', 0.1)","('r', 1e-09)","('rr', 0.01)","('r', 20)","('nsne', 70)","('lr', 1e-07)","('mi', 40)",0.173443983402,0.0713966278074,524
"('sss', 0.1)","('r', 1e-09)","('rr', 0.01)","('r', 150)","('nsne', 5)","('lr', 3e-09)","('mi', 40)",0.183402489627,0.0658489758282,960
"('sss', 0.1)","('r', 1e-09)","('rr', 0.1)","('r', 1)","('nsne', None)","('lr', 3e-10)","('mi', 40)",0.103734439834,0.038870117895,147
"('sss', 0.1)","('r', 1e-09)","('rr', 0.1)","('r', 50)","('nsne', 50)","('lr', 3e-07)","('mi', 40)",0.177593360996,0.073661990384,790
"('sss', 0.1)","('r', 1e-09)","('rr', 0.1)","('r', 100)","('nsne', 1)","('lr', 1e-07)","('mi', 40)",0.160165975104,0.0583211486531,896
"('sss', 0.1)","('r', 3e-09)","('rr', 0.003)","('r', 5)","('nsne', None)","('lr', 1e-10)","('mi', 40)",0.154356846473,0.0615240729764,426
"('sss', 0.1)","('r', 3e-09)","('rr', 0.3)","('r', 5)","('nsne', 70)","('lr', 3e-09)","('mi', 40)",0.15020746888,0.060751827702,271
"('sss', 0.1)","('r', 3e-09)","('rr', 0.3)","('r', 75)","('nsne', 70)","('lr', 1e-08)","('mi', 40)",0.167634854772,0.073641243496,864
"('sss', 0.1)","('r', 1e-08)","('rr', 0.003)","('r', 250)","('nsne', 10)","('lr', 1e-09)","('mi', 40)",0.165145228216,0.0634466179279,992
"('sss', 0.1)","('r', 3e-08)","('rr', 0.01)","('r', 20)","('nsne', 100)","('lr', 3e-08)","('mi', 40)",0.192531120332,0.0776714088125,587
"('sss', 0.1)","('r', 3e-08)","('rr', 0.3)","('r', 200)","('nsne', 15)","('lr', 1e-07)","('mi', 40)",0.134439834025,0.0505051702562,978
"('sss', 0.1)","('r', 1e-07)","('rr', 0.003)","('r', 30)","('nsne', 50)","('lr', 3e-10)","('mi', 40)",0.179253112033,0.0669044325891,610
"('sss', 0.1)","('r', 1e-07)","('rr', 0.01)","('r', 75)","('nsne', None)","('lr', 3e-08)","('mi', 40)",0.174273858921,0.0714387802147,984
"('sss', 0.1)","('r', 3e-07)","('rr', 0.001)","('r', 200)","('nsne', 70)","('lr', 3e-10)","('mi', 40)",0.121991701245,0.0471942303893,780
"('sss', 0.1)","('r', 3e-07)","('rr', 0.01)","('r', 10)","('nsne', 100)","('lr', 1e-10)","('mi', 40)",0.165975103734,0.0683152209708,466
"('sss', 0.1)","('r', 3e-07)","('rr', 0.01)","('r', 100)","('nsne', 50)","('lr', 1e-07)","('mi', 40)",0.151867219917,0.0601695975762,798
"('sss', 0.1)","('r', 3e-06)","('rr', 0.003)","('r', 75)","('nsne', 20)","('lr', 1e-08)","('mi', 40)",0.165975103734,0.0720443917539,761
"('sss', 0.3)","('r', 1e-10)","('rr', 0.003)","('r', 200)","('nsne', 100)","('lr', 1e-10)","('mi', 40)",0.14356846473,0.0528805242706,725
"('sss', 0.3)","('r', 1e-10)","('rr', 0.03)","('r', 250)","('nsne', 50)","('lr', 1e-09)","('mi', 40)",0.156846473029,0.0600612527169,738
"('sss', 0.3)","('r', 1e-10)","('rr', 0.1)","('r', 250)","('nsne', 5)","('lr', 1e-09)","('mi', 40)",0.170954356846,0.061580385958,940
"('sss', 0.3)","('r', 1e-10)","('rr', 0.3)","('r', 50)","('nsne', 5)","('lr', 1e-09)","('mi', 40)",0.184232365145,0.0726697622341,863
"('sss', 0.3)","('r', 3e-10)","('rr', 0.003)","('r', 1)","('nsne', 1)","('lr', 3e-06)","('mi', 40)",0.107053941909,0.0380389251136,151
"('sss', 0.3)","('r', 3e-10)","('rr', 0.03)","('r', 20)","('nsne', 50)","('lr', 3e-09)","('mi', 40)",0.175933609959,0.0731657116512,517
"('sss', 0.3)","('r', 3e-10)","('rr', 0.1)","('r', 75)","('nsne', 50)","('lr', 3e-08)","('mi', 40)",0.167634854772,0.07147269973,714
"('sss', 0.3)","('r', 1e-09)","('rr', 0.001)","('r', 50)","('nsne', 50)","('lr', 3e-08)","('mi', 40)",0.192531120332,0.0805124152012,681
"('sss', 0.3)","('r', 1e-09)","('rr', 0.003)","('r', 100)","('nsne', 50)","('lr', 3e-07)","('mi', 40)",0.16846473029,0.0665201211882,770
"('sss', 0.3)","('r', 1e-09)","('rr', 0.03)","('r', 20)","('nsne', None)","('lr', 1e-10)","('mi', 40)",0.18755186722,0.0720275966542,783
"('sss', 0.3)","('r', 1e-09)","('rr', 0.03)","('r', 250)","('nsne', 5)","('lr', 3e-09)","('mi', 40)",0.18755186722,0.072574590002,902
"('sss', 0.3)","('r', 1e-08)","('rr', 0.3)","('r', 20)","('nsne', 70)","('lr', 1e-06)","('mi', 40)",0.179253112033,0.078161759863,530
"('sss', 0.3)","('r', 3e-08)","('rr', 0.1)","('r', 250)","('nsne', 5)","('lr', 3e-08)","('mi', 40)",0.17510373444,0.0688539814266,896
"('sss', 0.3)","('r', 3e-08)","('rr', 0.3)","('r', 100)","('nsne', 50)","('lr', 1e-07)","('mi', 40)",0.175933609959,0.0710850951722,741
"('sss', 0.3)","('r', 1e-07)","('rr', 0.01)","('r', 20)","('nsne', 20)","('lr', 1e-07)","('mi', 40)",0.190041493776,0.0737670420865,538
"('sss', 0.3)","('r', 3e-07)","('rr', 0.03)","('r', 10)","('nsne', 50)","('lr', 1e-09)","('mi', 40)",0.167634854772,0.0710475531845,406
"('sss', 0.3)","('r', 3e-07)","('rr', 0.3)","('r', 1)","('nsne', 1)","('lr', 1e-06)","('mi', 40)",0.0979253112033,0.0367694131595,152
"('sss', 0.3)","('r', 3e-07)","('rr', 0.3)","('r', 250)","('nsne', 15)","('lr', 3e-10)","('mi', 40)",0.180912863071,0.0766844497135,788
"('sss', 0.3)","('r', 1e-06)","('rr', 0.1)","('r', 5)","('nsne', 30)","('lr', 1e-07)","('mi', 40)",0.151867219917,0.0629559375617,249
"('sss', 0.3)","('r', 3e-06)","('rr', 0.01)","('r', 5)","('nsne', 20)","('lr', 1e-06)","('mi', 40)",0.153526970954,0.0642692485016,246
"('sss', 0.3)","('r', 3e-06)","('rr', 0.1)","('r', 10)","('nsne', 70)","('lr', 3e-07)","('mi', 40)",0.169294605809,0.0700365540407,420
