,,HybridSVD ($\alpha=0.1$),HybridSVD ($\alpha=0.1$),HybridSVD ($\alpha=0.1$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.999$),HybridSVD ($\alpha=0.999$),HybridSVD ($\alpha=0.999$),PureSVD+CB,PureSVD+CB,PureSVD+CB
,,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR
fold,rank,,,,,,,,,,,,
3,750,1966.0,0.0654425348486,0.0292087306475,2412.0,0.0652186082965,0.028389421603,3085.0,0.0652745899345,0.0298309487821,1930.0,0.071432570117,0.0324123020982
3,1000,2507.0,0.0625874713094,0.0274360232066,3034.0,0.061523820187,0.0261278078568,3928.0,0.0608520405307,0.0271311898586,2447.0,0.0704249006326,0.0311058195134
3,1250,3102.0,0.0620276549292,0.0259721700171,3711.0,0.0576051055254,0.0244380954158,4603.0,0.0578850137155,0.0253567496528,3000.0,0.0685215249398,0.0294960141962
3,1500,3676.0,0.0594524995801,0.0247908241652,4335.0,0.0551419134524,0.0229151504973,5327.0,0.0547500419862,0.0237606953808,3556.0,0.0668420757991,0.0288640881346
3,1750,4234.0,0.0573811789733,0.0238810114727,4947.0,0.0521748866372,0.0218544983912,6044.0,0.0515590886189,0.0223474478149,4127.0,0.0666741308851,0.0278252510954
3,2000,4783.0,0.0549179869003,0.023177575533,5536.0,0.0495437496501,0.0210507398018,6904.0,0.0490399149079,0.0216434565018,4672.0,0.0656664614007,0.0271061314111
3,2500,5825.0,0.0507193640486,0.0216391912342,6904.0,0.0454570900745,0.0192944491984,8874.0,0.0436096960197,0.0196977613565,5654.0,0.0621955998433,0.0250967904749
3,3200,7546.0,0.0475843923193,0.0199517002868,8953.0,0.0417063203269,0.017818844308,12152.0,0.0391311649779,0.0175326937209,7191.0,0.0576610871634,0.0237252403434
4,1,30.0,0.0200358182225,0.00579321106101,30.0,0.0188605327961,0.00522855437227,30.0,0.0188605327961,0.00515979617726,30.0,0.0196440564137,0.00576276290682
4,5,90.0,0.0410790239534,0.0133780217184,93.0,0.0356503246026,0.0122465318864,99.0,0.0349227669577,0.0119262377363,106.0,0.0402395343631,0.0151311336041
4,10,151.0,0.0487463622118,0.0173357709624,163.0,0.0475710767853,0.0180204213616,162.0,0.0474031788672,0.0172490903309,133.0,0.0453884038505,0.0176740097576
4,15,188.0,0.0494739198567,0.0199854710558,245.0,0.0489702261025,0.0192522279787,249.0,0.0489702261025,0.0191279701941,140.0,0.0493619879113,0.019763672576
4,20,214.0,0.0516006268189,0.0212354888228,270.0,0.0508730691739,0.0198032929312,283.0,0.0490821580479,0.0193985390216,148.0,0.049250055966,0.0208652250543
4,30,234.0,0.0524401164092,0.0224615655903,327.0,0.0577568838146,0.0241622648985,362.0,0.0558540407432,0.0240877324365,171.0,0.0498097156929,0.0218844942275
4,50,245.0,0.051040967092,0.0236253469002,390.0,0.0585404074323,0.0274714751209,462.0,0.0588202372957,0.0276198071572,224.0,0.0512088650101,0.0239331819587
4,75,305.0,0.0540631296172,0.0268564934742,478.0,0.0598835907768,0.0293440699166,603.0,0.0638571748377,0.0306677762143,284.0,0.054454891426,0.02684321266
4,100,368.0,0.0581486456235,0.0283199814513,579.0,0.0647526304007,0.0308610142811,722.0,0.067215133199,0.0326513701891,360.0,0.0595477949407,0.0287842103112
4,125,449.0,0.0611708081486,0.0295460804275,657.0,0.0670472352809,0.0325641343397,849.0,0.0704051936423,0.0337912771257,419.0,0.0613946720394,0.0304027151492
4,150,517.0,0.062905753302,0.0299256274407,750.0,0.0688941123797,0.0332356815945,945.0,0.0730355943586,0.034870043458,482.0,0.062905753302,0.0307102170769
4,200,647.0,0.0653122901276,0.0298249775248,913.0,0.0718043429595,0.0335302136301,1145.0,0.0742668457578,0.0351933579939,626.0,0.0652003581822,0.0309983530014
4,300,890.0,0.0659279158272,0.029023109505,1201.0,0.0719722408775,0.0324657941305,1484.0,0.0747145735393,0.0345752671265,870.0,0.0698455339154,0.0316311016235
4,500,1400.0,0.0645847324827,0.0279432993629,1781.0,0.0690060443251,0.0297532655701,2201.0,0.0695657040519,0.0315252326585,1368.0,0.0700134318334,0.0305922443599
4,750,1972.0,0.0628497873293,0.0272169409888,2364.0,0.063801208865,0.0278297683897,3054.0,0.0642489366465,0.0289614803089,1926.0,0.0708529214238,0.0308450906293
4,1000,2507.0,0.060387284531,0.0263589515352,3011.0,0.0593239310499,0.0256743677622,3879.0,0.0606671143944,0.0268124313751,2434.0,0.0685023505709,0.0294031895274
4,1250,3107.0,0.0580367136781,0.0249586251559,3664.0,0.0572531900604,0.0241694605236,4569.0,0.05786881576,0.025032202643,3003.0,0.0661517797179,0.0283558929504
4,1500,3713.0,0.0569173942243,0.024163730674,4342.0,0.0541750615626,0.0230588690965,5262.0,0.053559435863,0.0238098125229,3574.0,0.0645847324827,0.0276117453921
4,1750,4280.0,0.0560219386613,0.0234445679249,4980.0,0.0516565927916,0.0221800922817,6061.0,0.0502574434744,0.0225821145188,4139.0,0.0636892769196,0.0269053970741
4,2000,4817.0,0.0548466532348,0.0230839205319,5620.0,0.0503134094471,0.0217142643939,6943.0,0.0486903962391,0.0217621686015,4689.0,0.0622901276024,0.026467685425
4,2500,5924.0,0.0512088650101,0.0217013389193,6941.0,0.046731587195,0.0204864553463,8843.0,0.044213118424,0.0197291380174,5747.0,0.0601634206403,0.0249009046944
4,3200,7544.0,0.0479628385941,0.0206002972415,8935.0,0.0433736288337,0.0190511946514,12153.0,0.0410790239534,0.0186049326454,7241.0,0.0564137004701,0.0238230267109
5,1,30.0,0.0199004975124,0.00604131118973,30.0,0.0185588909386,0.00575948064209,30.0,0.0185588909386,0.00571755543666,20.0,0.0202358991559,0.00624678906165
5,5,89.0,0.0417575046118,0.0151307622757,89.0,0.0366146794119,0.0135162203961,91.0,0.0358879758511,0.0129213704973,82.0,0.0438817150204,0.016171039754
