,,,,,,,HR,MRR,COV
"('sss', 0.03)","('r', 1e-08)","('rr', 0.3)","('r', 30)","('nsne', 3)","('lr', 3e-10)","('mi', 40)",0.0242048186036,0.00989587908505,175
"('sss', 0.03)","('r', 3e-08)","('rr', 0.0001)","('r', 300)","('nsne', 3)","('lr', 1e-09)","('mi', 40)",0.0235899155906,0.00937474212671,152
"('sss', 0.03)","('r', 3e-08)","('rr', 0.0003)","('r', 10)","('nsne', 10)","('lr', 3e-07)","('mi', 40)",0.0109564536866,0.00360405924719,114
"('sss', 0.03)","('r', 3e-08)","('rr', 0.3)","('r', 100)","('nsne', 10)","('lr', 3e-07)","('mi', 40)",0.0138073676561,0.00492075470694,153
"('sss', 0.03)","('r', 3e-07)","('rr', 0.0003)","('r', 100)","('nsne', 10)","('lr', 3e-05)","('mi', 40)",0.025881826821,0.00886254477568,273
"('sss', 0.03)","('r', 3e-07)","('rr', 0.01)","('r', 300)","('nsne', 100)","('lr', 3e-07)","('mi', 40)",0.00156520766952,0.000438151670753,30
"('sss', 0.03)","('r', 3e-07)","('rr', 0.3)","('r', 300)","('nsne', 100)","('lr', 1e-10)","('mi', 40)",0.0010062049304,0.000347513369482,29
"('sss', 0.03)","('r', 1e-06)","('rr', 0.01)","('r', 300)","('nsne', 1)","('lr', 1e-10)","('mi', 40)",0.0125775616301,0.0046580456022,52
"('sss', 0.03)","('r', 1e-06)","('rr', 0.3)","('r', 100)","('nsne', 10)","('lr', 3e-05)","('mi', 40)",0.0225837106602,0.00830556065756,252
"('sss', 0.03)","('r', 3e-06)","('rr', 0.0001)","('r', 300)","('nsne', 30)","('lr', 1e-08)","('mi', 40)",0.00173290849125,0.00063027558835,46
"('sss', 0.03)","('r', 3e-06)","('rr', 0.0003)","('r', 100)","('nsne', 30)","('lr', 1e-07)","('mi', 40)",0.00139750684778,0.000522889387555,41
"('sss', 0.03)","('r', 3e-06)","('rr', 0.001)","('r', 10)","('nsne', 3)","('lr', 1e-07)","('mi', 40)",0.0247638213427,0.00943152970656,175
"('sss', 0.03)","('r', 3e-06)","('rr', 0.003)","('r', 100)","('nsne', 30)","('lr', 1e-07)","('mi', 40)",0.00167700821734,0.000468364437843,53
"('sss', 0.03)","('r', 3e-06)","('rr', 0.01)","('r', 300)","('nsne', 3)","('lr', 1e-09)","('mi', 40)",0.0191178936777,0.006875046029,113
"('sss', 0.03)","('r', 3e-05)","('rr', 0.0001)","('r', 100)","('nsne', 1)","('lr', 0.001)","('mi', 40)",0.0276147353122,0.00886560598115,10
"('sss', 0.03)","('r', 3e-05)","('rr', 0.003)","('r', 30)","('nsne', 1)","('lr', 1e-09)","('mi', 40)",0.00793783889541,0.00255038344926,21
"('sss', 0.03)","('r', 3e-05)","('rr', 0.03)","('r', 10)","('nsne', 100)","('lr', 1e-08)","('mi', 40)",0.00117390575214,0.000414349689044,26
"('sss', 0.03)","('r', 0.0001)","('rr', 0.0001)","('r', 10)","('nsne', 30)","('lr', 0.0003)","('mi', 40)",0.0243166191514,0.00868987504071,22
"('sss', 0.03)","('r', 0.0001)","('rr', 0.003)","('r', 10)","('nsne', 1)","('lr', 3e-07)","('mi', 40)",0.0078819386215,0.00213408168716,10
"('sss', 0.03)","('r', 0.0001)","('rr', 0.01)","('r', 100)","('nsne', 1)","('lr', 1e-09)","('mi', 40)",0.00732293588239,0.0021369876141,10
"('sss', 0.03)","('r', 0.0003)","('rr', 0.0003)","('r', 30)","('nsne', 1)","('lr', 3e-08)","('mi', 40)",0.00827324053888,0.00247454097446,10
"('sss', 0.03)","('r', 0.0003)","('rr', 0.3)","('r', 30)","('nsne', 10)","('lr', 1e-07)","('mi', 40)",0.00413662026944,0.00117769898501,10
"('sss', 0.03)","('r', 0.001)","('rr', 0.0003)","('r', 10)","('nsne', 3)","('lr', 0.0003)","('mi', 40)",0.021465705182,0.00806778484961,10
"('sss', 0.03)","('r', 0.001)","('rr', 0.03)","('r', 10)","('nsne', 100)","('lr', 0.001)","('mi', 40)",0.00268321314774,0.00102521546006,10
"('sss', 0.03)","('r', 0.001)","('rr', 0.03)","('r', 100)","('nsne', 1)","('lr', 3e-05)","('mi', 40)",0.0078819386215,0.00242687046309,10
"('sss', 0.1)","('r', 1e-10)","('rr', 0.01)","('r', 10)","('nsne', 3)","('lr', 3e-05)","('mi', 40)",0.0482978366594,0.0187868841986,1024
"('sss', 0.1)","('r', 1e-10)","('rr', 0.1)","('r', 100)","('nsne', 1)","('lr', 1e-05)","('mi', 40)",0.0399127955727,0.0163405595529,1519
"('sss', 0.1)","('r', 3e-10)","('rr', 0.0003)","('r', 10)","('nsne', 3)","('lr', 3e-05)","('mi', 40)",0.0482419363855,0.0195319993576,1026
"('sss', 0.1)","('r', 1e-09)","('rr', 0.1)","('r', 30)","('nsne', 30)","('lr', 0.001)","('mi', 40)",0.0228632120297,0.00751510416528,530
"('sss', 0.1)","('r', 3e-09)","('rr', 0.01)","('r', 10)","('nsne', 1)","('lr', 1e-08)","('mi', 40)",0.0332606629772,0.0123891643974,1264
"('sss', 0.1)","('r', 1e-08)","('rr', 0.01)","('r', 300)","('nsne', 1)","('lr', 0.0003)","('mi', 40)",0.0401922969423,0.0139838971719,214
"('sss', 0.1)","('r', 3e-08)","('rr', 0.03)","('r', 100)","('nsne', 3)","('lr', 1e-08)","('mi', 40)",0.0408631002292,0.0177502446746,2324
"('sss', 0.1)","('r', 3e-08)","('rr', 0.3)","('r', 100)","('nsne', 100)","('lr', 3e-06)","('mi', 40)",0.0219688076472,0.0119125258317,1783
"('sss', 0.1)","('r', 1e-07)","('rr', 0.0003)","('r', 30)","('nsne', 100)","('lr', 1e-09)","('mi', 40)",0.00821734026497,0.00542445610364,745
"('sss', 0.1)","('r', 1e-07)","('rr', 0.01)","('r', 100)","('nsne', 10)","('lr', 1e-10)","('mi', 40)",0.0387388898206,0.0183948280712,1994
"('sss', 0.1)","('r', 1e-07)","('rr', 0.3)","('r', 30)","('nsne', 3)","('lr', 1e-10)","('mi', 40)",0.0386270892727,0.0175213641087,2321
"('sss', 0.1)","('r', 3e-07)","('rr', 0.003)","('r', 30)","('nsne', 10)","('lr', 3e-05)","('mi', 40)",0.0442730169378,0.0204782002241,1221
"('sss', 0.1)","('r', 3e-07)","('rr', 0.003)","('r', 30)","('nsne', 100)","('lr', 1e-09)","('mi', 40)",0.00877634300408,0.00566864269698,754
"('sss', 0.1)","('r', 1e-06)","('rr', 0.003)","('r', 30)","('nsne', 3)","('lr', 3e-09)","('mi', 40)",0.0396891944771,0.0178143747111,2169
"('sss', 0.1)","('r', 3e-06)","('rr', 0.01)","('r', 30)","('nsne', 1)","('lr', 3e-07)","('mi', 40)",0.0398009950249,0.0156260120833,1055
"('sss', 0.1)","('r', 3e-06)","('rr', 0.3)","('r', 30)","('nsne', 10)","('lr', 3e-05)","('mi', 40)",0.0467326289899,0.0202096792655,1038
"('sss', 0.1)","('r', 1e-05)","('rr', 0.001)","('r', 10)","('nsne', 3)","('lr', 3e-09)","('mi', 40)",0.0424283078987,0.0172161086843,886
"('sss', 0.1)","('r', 1e-05)","('rr', 0.3)","('r', 30)","('nsne', 10)","('lr', 0.0003)","('mi', 40)",0.0318072558556,0.0108834727735,398
"('sss', 0.1)","('r', 3e-05)","('rr', 0.003)","('r', 300)","('nsne', 30)","('lr', 0.0003)","('mi', 40)",0.0293476438035,0.00951895152381,509
"('sss', 0.1)","('r', 3e-05)","('rr', 0.01)","('r', 300)","('nsne', 100)","('lr', 3e-10)","('mi', 40)",0.0029627145173,0.00190533421709,130
"('sss', 0.1)","('r', 3e-05)","('rr', 0.1)","('r', 100)","('nsne', 100)","('lr', 0.0003)","('mi', 40)",0.016993683269,0.00491753822292,710
"('sss', 0.1)","('r', 0.0001)","('rr', 0.001)","('r', 10)","('nsne', 3)","('lr', 3e-09)","('mi', 40)",0.0117949577953,0.00407830208685,66
"('sss', 0.1)","('r', 0.001)","('rr', 0.1)","('r', 30)","('nsne', 3)","('lr', 3e-09)","('mi', 40)",0.00436022136508,0.00177319218071,10
"('sss', 0.3)","('r', 1e-10)","('rr', 0.3)","('r', 10)","('nsne', 100)","('lr', 1e-07)","('mi', 40)",0.00503102465202,0.00109646612665,3336
"('sss', 0.3)","('r', 3e-10)","('rr', 0.0001)","('r', 30)","('nsne', 1)","('lr', 3e-06)","('mi', 40)",0.0348258706468,0.0167116308949,6687
"('sss', 0.3)","('r', 3e-10)","('rr', 0.01)","('r', 10)","('nsne', 1)","('lr', 3e-09)","('mi', 40)",0.0180557884734,0.00707595427535,5056
"('sss', 0.3)","('r', 3e-08)","('rr', 0.0003)","('r', 30)","('nsne', 30)","('lr', 3e-08)","('mi', 40)",0.039745094751,0.0150440503031,4253
"('sss', 0.3)","('r', 3e-08)","('rr', 0.01)","('r', 10)","('nsne', 100)","('lr', 1e-06)","('mi', 40)",0.00519872547375,0.00151598437277,4028
"('sss', 0.3)","('r', 1e-07)","('rr', 0.003)","('r', 30)","('nsne', 30)","('lr', 1e-06)","('mi', 40)",0.0363351780424,0.0151915205496,4898
"('sss', 0.3)","('r', 3e-07)","('rr', 0.01)","('r', 30)","('nsne', 30)","('lr', 3e-10)","('mi', 40)",0.0386270892727,0.0147508844222,4576
"('sss', 0.3)","('r', 3e-07)","('rr', 0.3)","('r', 10)","('nsne', 30)","('lr', 0.0003)","('mi', 40)",0.0129129632735,0.00446383651566,2105
"('sss', 0.3)","('r', 1e-06)","('rr', 0.03)","('r', 100)","('nsne', 10)","('lr', 3e-08)","('mi', 40)",0.0368382805076,0.0212767977484,15388
"('sss', 0.3)","('r', 3e-06)","('rr', 0.3)","('r', 10)","('nsne', 10)","('lr', 3e-06)","('mi', 40)",0.0223601095645,0.0103820340069,3221
"('sss', 0.3)","('r', 3e-05)","('rr', 0.03)","('r', 30)","('nsne', 3)","('lr', 0.0003)","('mi', 40)",0.0421488065292,0.0161187330691,789
"('sss', 0.3)","('r', 0.0001)","('rr', 0.0001)","('r', 30)","('nsne', 3)","('lr', 3e-08)","('mi', 40)",0.00693163396501,0.00251571196985,51
"('sss', 0.3)","('r', 0.0001)","('rr', 0.0003)","('r', 30)","('nsne', 10)","('lr', 1e-05)","('mi', 40)",0.00313041533904,0.00155285193437,53
"('sss', 0.3)","('r', 0.0001)","('rr', 0.003)","('r', 100)","('nsne', 3)","('lr', 3e-08)","('mi', 40)",0.00693163396501,0.00278891346726,49
"('sss', 0.3)","('r', 0.0003)","('rr', 0.01)","('r', 100)","('nsne', 10)","('lr', 3e-09)","('mi', 40)",0.000670803286936,0.000144564319476,10
"('sss', 0.3)","('r', 0.001)","('rr', 0.001)","('r', 30)","('nsne', 1)","('lr', 1e-08)","('mi', 40)",0.00380121862597,0.00137463653731,10
