,,HybridSVD ($\alpha=0.1$),HybridSVD ($\alpha=0.1$),HybridSVD ($\alpha=0.1$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.999$),HybridSVD ($\alpha=0.999$),HybridSVD ($\alpha=0.999$),PureSVD,PureSVD,PureSVD
,,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR
fold,rank,,,,,,,,,,,,
4,3000,15725.0,0.0277100421193,0.0143969063277,14943.0,0.0325870095323,0.0149987860363,15327.0,0.0352471735757,0.0139363918182,16601.0,0.0208379516737,0.0110511166707
4,3200,16505.0,0.0279317224562,0.0146907207426,15576.0,0.0321436488583,0.0150703043354,15782.0,0.0356905342496,0.0136643935635,17497.0,0.0206162713367,0.0113997353911
5,1,38.0,0.0119126406353,0.00674620682893,38.0,0.0123538495478,0.00666348015785,37.0,0.0121332450916,0.00644532686227,37.0,0.012574454004,0.0072669909202
5,5,213.0,0.0130156629164,0.00645521904622,180.0,0.0134568718288,0.00659747390389,174.0,0.0132362673726,0.00650424225871,249.0,0.0130156629164,0.00661533235987
5,10,409.0,0.0141186851974,0.00726471484248,346.0,0.016765938672,0.00775494696739,331.0,0.0163247297595,0.0071673687491,556.0,0.0116920361791,0.00478449045623
5,15,610.0,0.0169865431282,0.00695140398979,505.0,0.0183101698654,0.00796565923965,466.0,0.0174277520406,0.00801109325266,880.0,0.0123538495478,0.00491300130612
5,20,842.0,0.0156629163909,0.00662075992983,692.0,0.0187513787779,0.00837929259504,671.0,0.0189719832341,0.00814468150669,1149.0,0.0127950584602,0.00453989964248
5,30,1296.0,0.0169865431282,0.00640418238036,1064.0,0.0191925876903,0.0078064213405,1024.0,0.0187513787779,0.00784450187164,1596.0,0.0116920361791,0.00549418899849
5,50,2007.0,0.0187513787779,0.00721823033206,1729.0,0.0213986322524,0.00892940307235,1667.0,0.0222810500772,0.00873278497369,2356.0,0.0141186851974,0.00585871159994
5,75,2597.0,0.0216192367086,0.00881770018104,2415.0,0.022060445621,0.00984911355527,2223.0,0.0233840723583,0.00938032908582,2766.0,0.0145598941099,0.00659388470441
5,100,2971.0,0.0211780277962,0.00842306332048,2869.0,0.0229428634458,0.00998769167201,2715.0,0.0231634679021,0.00965564694883,3048.0,0.0143392896537,0.00605760577634
5,125,3231.0,0.0218398411648,0.00936334604435,3218.0,0.0236046768145,0.00982136291534,3178.0,0.0244870946393,0.00959480564047,3201.0,0.0132362673726,0.00572950041845
5,150,3368.0,0.0225016545334,0.0098171609257,3532.0,0.0244870946393,0.0101084113328,3492.0,0.0249283035517,0.00987327499571,3392.0,0.0145598941099,0.00669919706981
