,,CB,CB,CB,FM,FM,FM,HybridSVD ($\alpha=0.1$),HybridSVD ($\alpha=0.1$),HybridSVD ($\alpha=0.1$),MP,MP,MP,PureSVD,PureSVD,PureSVD,RND,RND,RND,HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.5$)
,,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR
fold,topk,,,,,,,,,,,,,,,,,,,,,
3,10,915.0,0.0464344941957,0.022422938219,630.0,0.234660033167,0.0970899470899,583.0,0.230514096186,0.101989720709,79.0,0.103648424544,0.0397499934191,589.0,0.233830845771,0.102627076259,3396.0,0.00497512437811,0.00105951722867,574.0,0.228855721393,0.0976045697439
3,20,1247.0,0.06135986733,0.0235009031843,964.0,0.324212271973,0.103457482076,753.0,0.329187396352,0.10860278084,124.0,0.15671641791,0.0434260257493,757.0,0.320895522388,0.108516815676,3526.0,0.00995024875622,0.00135963771328,739.0,0.335820895522,0.104950342494
3,30,1490.0,0.0796019900498,0.0242257147627,1302.0,0.383084577114,0.105798480629,890.0,0.390547263682,0.111053845386,162.0,0.200663349917,0.0451937902143,893.0,0.39552238806,0.111489016134,3529.0,0.0132669983416,0.00148172235787,874.0,0.393864013267,0.107300760553
4,1,218.0,0.00911350455675,0.00911350455675,195.0,0.0521955260978,0.0521955260978,237.0,0.0381110190555,0.0381110190555,26.0,0.013256006628,0.013256006628,237.0,0.0356255178128,0.0356255178128,1013.0,0.0,0.0,233.0,0.0389395194698,0.0389395194698
4,3,480.0,0.016570008285,0.0122894228114,354.0,0.0936205468103,0.069594034797,381.0,0.089478044739,0.0595139464236,46.0,0.0372825186413,0.0237503452085,377.0,0.0936205468103,0.0589616128141,2266.0,0.00082850041425,0.000414250207125,373.0,0.0853355426678,0.0586854460094
4,10,966.0,0.03314001657,0.0152874764929,693.0,0.21043910522,0.0895868676109,613.0,0.208782104391,0.0801044831078,92.0,0.0886495443248,0.0319613760997,605.0,0.217895608948,0.0796146157994,3419.0,0.00082850041425,0.000414250207125,594.0,0.202982601491,0.0788291842559
4,20,1282.0,0.0555095277548,0.0168551329887,1100.0,0.293289146645,0.0954784860025,788.0,0.307373653687,0.0867330316373,141.0,0.146644573322,0.0358597603844,784.0,0.30405965203,0.0853561922628,3524.0,0.00414250207125,0.000620596644885,775.0,0.286661143331,0.0846270292014
4,30,1534.0,0.0720795360398,0.0174774991177,1454.0,0.351284175642,0.0978094116872,916.0,0.377796188898,0.0895241141846,180.0,0.183927091964,0.0373490379268,903.0,0.371168185584,0.0880774384972,3532.0,0.00745650372825,0.000741559821586,906.0,0.347970173985,0.0871308710243
5,1,235.0,0.00912863070539,0.00912863070539,191.0,0.0497925311203,0.0497925311203,240.0,0.0390041493776,0.0390041493776,20.0,0.0124481327801,0.0124481327801,240.0,0.0390041493776,0.0390041493776,1000.0,0.0,0.0,237.0,0.0406639004149,0.0406639004149
5,3,487.0,0.0124481327801,0.0103734439834,333.0,0.0970954356846,0.0692946058091,381.0,0.107883817427,0.0686030428769,39.0,0.0282157676349,0.0197786998617,376.0,0.110373443983,0.0691562932227,2261.0,0.000829875518672,0.000414937759336,374.0,0.0912863070539,0.0625172890733
5,10,957.0,0.0323651452282,0.0134676941316,633.0,0.194190871369,0.0847464269249,576.0,0.214107883817,0.0855812421788,77.0,0.0838174273859,0.0287357570968,578.0,0.214937759336,0.0862253836528,3411.0,0.00248962655602,0.000610880590134,567.0,0.207468879668,0.0817368109069
5,20,1289.0,0.0514522821577,0.0148017373292,1024.0,0.287136929461,0.0912092557472,735.0,0.302904564315,0.0915832879664,118.0,0.145228215768,0.0328760582996,733.0,0.30622406639,0.0923492566538,3527.0,0.00580912863071,0.000844738055374,733.0,0.287136929461,0.0869956210383
5,30,1529.0,0.0663900414938,0.0154018644949,1359.0,0.352697095436,0.0939221451399,869.0,0.36265560166,0.093960765867,157.0,0.194190871369,0.0348209172474,860.0,0.360165975104,0.0944945973702,3530.0,0.00663900414938,0.00087793307612,862.0,0.35601659751,0.0897251669609
